"solarDay" "GPP" "R"
"100" 2016-02-16 0.0450223783175108 -0.0172053175379844
"101" 2016-02-17 0.000210828496313304 0.0340652586655754
"102" 2016-02-18 -0.202002592521663 -0.0282258317666183
"103" 2016-02-19 0.127965981445114 0.074690911715865
"104" 2016-02-20 -0.0692033306396955 -0.213747512026347
"105" 2016-02-21 -0.240566503647934 -0.392224839382188
"106" 2016-02-22 -0.0734403758654564 -0.0817448823581957
"107" 2016-02-23 0.120225029884388 0.0855516256715961
"108" 2016-02-24 0.16595875333864 0.381078437500247
"109" 2016-02-25 0.283687180218351 0.274580539951227
"110" 2016-02-26 0.168199372240853 0.0173922863338018
"111" 2016-02-27 0.168913472612143 0.0136678811359436
"112" 2016-02-28 0.11495448742101 -0.00338603315021876
"113" 2016-02-29 0.199025383265696 0.0543866334009487
